,Distance
0,2.0605649948120117
1,1.3508713245391846
2,0.9602057933807373
3,1.4893205165863037
4,1.4429327249526978
5,0.8587793111801147
6,0.6888450980186462
7,1.3643767833709717
8,0.5430179238319397
9,1.5142371654510498
10,1.2386507987976074
11,1.3522429466247559
12,1.3091387748718262
13,1.4348621368408203
14,1.3476265668869019
15,1.2939105033874512
16,1.1914360523223877
17,1.7092320919036865
18,1.2590898275375366
19,1.8710758686065674
20,1.6076580286026
21,1.5470726490020752
22,1.4751887321472168
23,1.6205637454986572
24,0.6897969841957092
25,1.074476957321167
26,0.9344309568405151
27,1.5069855451583862
28,1.5711208581924438
29,1.492695927619934
30,0.9982657432556152
31,0.8899359703063965
32,1.2890384197235107
33,0.6208245754241943
34,1.4918005466461182
35,1.5573982000350952
36,1.3788753747940063
37,1.7633395195007324
38,1.0514633655548096
39,1.0385262966156006
40,1.7803484201431274
41,1.2933686971664429
42,1.6527280807495117
43,0.7337023019790649
44,1.189155101776123
45,2.0597474575042725
46,1.253763198852539
47,0.4307822585105896
48,1.3482253551483154
49,1.1996524333953857
50,1.5587360858917236
51,1.1978824138641357
52,1.6475658416748047
53,1.4857137203216553
54,1.2118881940841675
55,1.5801634788513184
56,1.0559601783752441
57,1.6371091604232788
58,0.888057291507721
59,0.7835822701454163
60,1.6381893157958984
61,1.3834408521652222
62,0.8764955997467041
63,1.2886379957199097
64,0.7656204700469971
65,2.169490337371826
66,1.292657494544983
67,1.3702532052993774
68,1.764068841934204
69,1.4890706539154053
70,1.613385558128357
71,1.2615967988967896
72,1.6491389274597168
73,1.3400495052337646
74,1.9131683111190796
75,0.7286463975906372
76,1.4995243549346924
77,1.6791012287139893
78,1.2877578735351562
79,0.6722803711891174
80,1.1117379665374756
81,1.0575439929962158
82,1.3399114608764648
83,0.9359090328216553
84,1.4424676895141602
85,1.476351022720337
86,0.9203546047210693
87,0.37155476212501526
88,1.373029112815857
89,0.5219560861587524
90,1.3107709884643555
91,1.182188868522644
92,1.9846973419189453
93,1.6012144088745117
94,1.015112280845642
95,0.6922873258590698
96,0.8720722198486328
97,1.1721783876419067
98,1.2491748332977295
99,1.3280057907104492
100,1.1876492500305176
101,1.0494428873062134
102,1.417920708656311
103,1.6416645050048828
104,1.6470783948898315
105,0.34673815965652466
106,0.6351050138473511
107,1.1556975841522217
108,1.125906229019165
109,1.255287528038025
110,1.478926181793213
111,1.3778537511825562
112,0.7523887157440186
113,0.5400436520576477
114,1.3774468898773193
115,1.378504991531372
116,0.548986554145813
117,1.4166996479034424
118,1.4619393348693848
119,1.388575792312622
120,1.7113090753555298
121,1.5090081691741943
122,1.3178696632385254
123,1.2939095497131348
124,1.3886781930923462
125,1.6949996948242188
126,1.3969768285751343
127,1.1917707920074463
128,1.64627206325531
129,1.0722050666809082
130,0.8005896210670471
131,1.240021824836731
132,1.0396459102630615
133,1.219296932220459
134,1.0931379795074463
135,2.0937323570251465
136,1.2325663566589355
137,2.144896984100342
138,1.3289999961853027
139,1.0857319831848145
140,1.8901523351669312
141,1.9134242534637451
142,1.3677096366882324
143,1.3442531824111938
144,1.8099470138549805
145,1.7704448699951172
146,1.1828941106796265
147,0.9868723154067993
148,1.3686134815216064
149,1.505915641784668
150,0.46777820587158203
151,1.2834945917129517
152,1.6145586967468262
153,1.273741602897644
154,2.011594533920288
155,1.4158036708831787
156,1.245131254196167
157,0.9014283418655396
158,1.0594472885131836
159,1.5132553577423096
160,0.4080003798007965
161,1.319854974746704
162,1.361584186553955
163,1.48455810546875
164,1.2375528812408447
165,0.7331466674804688
166,0.5476517677307129
167,1.6829479932785034
168,1.3733549118041992
169,1.2540615797042847
170,1.3376158475875854
171,1.3012480735778809
172,1.179929256439209
173,1.1881000995635986
174,1.4925777912139893
175,1.4055947065353394
176,1.517925500869751
177,1.1598615646362305
178,0.9204847812652588
179,1.1887445449829102
180,1.6693241596221924
181,1.1329658031463623
182,2.039055585861206
183,0.5967353582382202
184,1.2223259210586548
185,1.1435316801071167
186,1.2084052562713623
187,1.32756769657135
188,1.3032200336456299
189,1.0975632667541504
190,1.1428402662277222
191,0.6942650079727173
192,1.212064504623413
193,1.32921302318573
194,2.143070697784424
195,1.1523770093917847
196,1.3254079818725586
197,1.3351094722747803
198,1.4853435754776
199,1.317009449005127
200,1.1549134254455566
201,0.28431418538093567
202,1.9867572784423828
203,0.6509883403778076
204,0.9843229651451111
205,1.5440014600753784
206,1.6314843893051147
207,1.3451391458511353
208,1.1130354404449463
209,1.6488535404205322
210,0.6937557458877563
211,1.5384998321533203
212,0.6873496770858765
213,1.2988368272781372
214,1.282963514328003
215,1.185333251953125
216,1.3919124603271484
217,1.6005299091339111
218,0.9861915111541748
219,1.6595776081085205
220,2.008991241455078
221,1.732541561126709
222,1.6425654888153076
223,0.8586174249649048
224,0.6702441573143005
225,1.021299123764038
226,1.638136386871338
227,1.5135862827301025
228,1.552290916442871
229,1.840437650680542
230,1.419500470161438
231,0.8442825675010681
232,0.7594623565673828
233,1.4460676908493042
234,1.4793097972869873
235,0.5263498425483704
236,1.4923624992370605
237,1.630820870399475
238,1.2816319465637207
239,0.8230265378952026
240,1.5781254768371582
241,1.482163429260254
242,1.4189196825027466
243,1.4348700046539307
244,0.8694432973861694
245,1.0100550651550293
246,1.2508513927459717
247,2.1583046913146973
248,0.6389458179473877
249,1.0972024202346802
250,0.5866116285324097
251,0.5401827096939087
252,1.292736530303955
253,1.6031142473220825
254,1.3870844841003418
255,0.40788733959198
256,1.2482167482376099
257,1.2224996089935303
258,1.3148049116134644
259,1.1792651414871216
260,1.4196091890335083
261,0.7958855032920837
262,1.587849497795105
263,1.268782377243042
264,1.4145994186401367
265,0.7888541221618652
266,1.2593286037445068
267,1.3154878616333008
268,1.4046982526779175
269,0.8279293775558472
270,0.494057297706604
271,1.1346663236618042
272,1.8576592206954956
273,1.6259081363677979
274,1.202143669128418
275,1.014545202255249
276,1.4248875379562378
277,1.2599074840545654
278,0.6271446943283081
279,0.7200753092765808
280,0.3491751551628113
281,0.6798157691955566
282,1.8364863395690918
283,1.3011248111724854
284,1.4569191932678223
285,1.6704037189483643
286,0.4316374659538269
287,1.5403388738632202
288,1.133234977722168
289,1.2562286853790283
290,1.3193559646606445
291,0.4316630959510803
292,1.4556496143341064
293,1.065043568611145
294,1.4704006910324097
295,0.7195391058921814
296,1.3596876859664917
297,1.1040704250335693
298,0.5277299880981445
299,0.6477349996566772
300,1.2539690732955933
301,0.4732544720172882
302,1.4199142456054688
303,1.38029146194458
304,1.3826134204864502
305,0.4619627594947815
306,0.6409168243408203
307,1.2514543533325195
308,0.7031872868537903
309,1.5896068811416626
310,1.2667592763900757
311,0.6440351605415344
312,2.040987014770508
313,1.3269606828689575
314,1.493696689605713
315,0.7030103206634521
316,1.269544243812561
317,1.115004301071167
318,0.2668044865131378
319,1.6684441566467285
320,0.8319305777549744
321,0.815889298915863
322,1.4513335227966309
323,1.601415991783142
324,1.1345348358154297
325,0.7625539302825928
326,1.4920823574066162
327,1.7022061347961426
328,1.1622923612594604
329,0.2677280306816101
330,1.9123728275299072
331,1.4000238180160522
332,1.304247498512268
333,1.554860234260559
334,1.087293267250061
335,0.8129602670669556
336,0.5013262033462524
337,1.257974624633789
338,0.9387549757957458
339,0.6950289011001587
340,1.1657259464263916
341,1.303692102432251
342,1.2174336910247803
343,1.2194126844406128
344,1.5560009479522705
345,0.4888232350349426
346,1.883124828338623
347,1.1985101699829102
348,1.589674472808838
349,1.4068613052368164
350,1.089966058731079
351,1.4968438148498535
352,1.008622169494629
353,1.2789942026138306
354,1.8662049770355225
355,0.8882684111595154
356,1.731032371520996
357,1.3363771438598633
358,1.3361848592758179
359,1.1741001605987549
360,1.2746162414550781
361,1.3963706493377686
362,2.0898046493530273
363,1.447089433670044
364,1.0007977485656738
365,1.5039985179901123
366,2.1421072483062744
367,0.8468748331069946
368,1.0112931728363037
369,1.398665428161621
370,1.3391073942184448
371,0.4540298283100128
372,1.5166218280792236
373,1.4606537818908691
374,1.5804243087768555
375,0.7544597387313843
376,1.5708348751068115
377,0.44229990243911743
378,0.9536110162734985
379,1.5552845001220703
380,0.29008200764656067
381,0.9978827238082886
382,1.4537180662155151
383,1.3193387985229492
384,2.067450523376465
385,1.6140637397766113
386,0.7803874015808105
387,0.8610155582427979
388,0.3727732300758362
389,1.2848427295684814
